LSOA,LA CODE,LA NAME,GOR CODE,GOR NAME,2004IMD SCORE,2004RANK OF IMD (where 1 is most deprived),2004INCOME SCORE,2004RANK OF INCOME SCORE (where 1 is most deprived),2004EMPLOYMENT SCORE,2004RANK OF EMPLOYMENT SCORE (where 1 is most deprived),2004HEALTH DEPRIVATION AND DISABILITY SCORE,2004RANK OF HEALTH DEPRIVATION AND DISABILITY SCORE (where 1 is most deprived),2004EDUCATION SKILLS AND TRAINING SCORE,2004RANK OF EDUCATION SKILLS AND TRAINING SCORE (where 1 is most deprived),2004BARRIERS TO HOUSING AND SERVICES SCORE,2004RANK OF BARRIERS TO HOUSING AND SERVICES SCORE (where 1 is most deprived),2004CRIME AND DISORDER SCORE,2004RANK OF CRIME AND DISORDER SCORE (where 1 is most deprived),2004LIVING ENVIRONMENT SCORE,2004RANK OF LIVING ENVIRONMENT SCORE (where 1 is most deprived),2007IMD SCORE,2007RANK OF IMD (where 1 is most deprived),2007INCOME SCORE,2007RANK OF INCOME SCORE (where 1 is most deprived),2007EMPLOYMENT SCORE,2007RANK OF EMPLOYMENT SCORE (where 1 is most deprived),2007HEALTH DEPRIVATION AND DISABILITY SCORE,2007RANK OF HEALTH DEPRIVATION AND DISABILITY SCORE (where 1 is most deprived),2007EDUCATION SKILLS AND TRAINING SCORE,2007RANK OF EDUCATION SKILLS AND TRAINING SCORE (where 1 is most deprived),2007BARRIERS TO HOUSING AND SERVICES SCORE,2007RANK OF BARRIERS TO HOUSING AND SERVICES SCORE (where 1 is most deprived),2007CRIME AND DISORDER SCORE,2007RANK OF CRIME AND DISORDER SCORE (where 1 is most deprived),2007LIVING ENVIRONMENT SCORE,2007RANK OF LIVING ENVIRONMENT SCORE (where 1 is most deprived),2010imd_score,2010imd_rank,2010income_score,2010income_rank,2010employ_score,2010employ_rank,2010healthdd_score,2010healthdd_rank,2010edust_score,2010edust_rank,2010housesb_score,2010housesb_rank,2010crimed_score,2010crimed_rank,2010environl_score,2010environl_rank
E01000159,00AC,Barnet,H,London,15.76,17386,0.12,13418,0.08,18090,-0.62,24252,4.51,27822,28.17,8528,0.45,9933,19.05,14610,23.17,11711,0.18,10152,0.09,15301,-0.61,24156,4.22,27987,43.69,1350,0.86,5100,22.59,12215,16.33,17057,0.15,11789,0.08,17452,-1.11,29366,4,28255,29.71,7386,0.56,8269,16.23,16781
E01000160,00AC,Barnet,H,London,13.34,19923,0.12,14278,0.07,19535,-0.59,23932,4.14,28266,28.2,8508,0.01,16027,11.89,20709,16.95,16373,0.12,15558,0.08,17425,-0.45,22240,4.64,27484,38.88,2621,0.26,12325,14.66,17812,11.47,22153,0.12,15572,0.07,19966,-0.91,27664,2.86,29607,21.73,14644,0.29,12014,9.99,22908
E01000161,00AC,Barnet,H,London,16.59,16599,0.14,11805,0.07,18237,-0.7,25225,6.97,24896,26.47,9961,0.4,10600,23.86,11691,19.4,14421,0.14,13419,0.07,18149,-0.59,24003,3.6,28728,40.71,2085,0.64,7418,22.97,12016,13.99,19240,0.14,12951,0.06,21485,-1.21,30014,4.16,28067,22.8,13551,0.42,10071,24.69,11018
E01000162,00AC,Barnet,H,London,20.09,13802,0.17,9704,0.09,14855,-0.12,17799,8.58,23174,25.19,11122,0.21,13235,32.78,7550,22.2,12335,0.19,9624,0.09,15381,-0.1,17488,4.93,27128,38.65,2687,0.19,13435,31.67,7938,19.02,14736,0.18,10051,0.08,15726,-0.53,23346,5.92,26041,22.06,14303,0.55,8390,33.92,6983
E01000163,00AC,Barnet,H,London,29.23,8484,0.25,5418,0.16,6043,0.5,9384,12.88,18940,31.54,6154,-0.19,18803,20.97,13323,37.13,5517,0.33,3523,0.18,4260,0.48,9744,11.15,20431,49.33,497,-0.2,19093,24.6,11136,29.6,8367,0.29,4139,0.15,6456,0.19,13267,10.72,20895,32.81,5376,0.02,16067,22.2,12420
E01000164,00AC,Barnet,H,London,30.33,8009,0.23,6466,0.13,9017,0.35,11285,18.32,14569,26.76,9736,1.26,2206,24.68,11275,34.43,6495,0.29,4990,0.13,8716,0.01,15856,10.39,21177,45.07,1091,1.28,2043,30.8,8283,28.48,8902,0.27,5006,0.11,11117,-0.49,22771,13.08,18744,26.85,9708,1.22,2088,31.64,7851
E01000165,00AC,Barnet,H,London,10.45,23328,0.07,21645,0.05,26294,-1,28053,4.38,27992,39.28,2460,-1.02,28719,11.77,20815,15.94,17307,0.11,17225,0.05,24212,-1.08,28697,3.93,28329,55.92,92,-0.74,26267,13,19396,11.32,22327,0.09,19160,0.05,25458,-1.22,30088,3.74,28567,37.07,3314,-0.04,16916,10.05,22845
E01000166,00AC,Barnet,H,London,12,21471,0.11,14799,0.07,19469,-1.14,29157,10.65,21079,25.34,10982,-0.55,23746,10.71,21930,17.08,16253,0.16,12065,0.07,18151,-0.71,25265,7.93,23641,40.88,2022,-0.33,20976,11.12,21361,13.87,19388,0.13,13959,0.07,18923,-0.99,28407,12.04,19671,28.82,8085,-0.16,18600,10.91,21900
E01000167,00AC,Barnet,H,London,23.24,11578,0.19,8292,0.11,11619,-0.1,17374,24.77,10620,27.94,8715,-0.04,16791,19.65,14184,26.73,9706,0.21,8416,0.1,12299,-0.2,18843,22.84,11671,43.72,1341,0.32,11582,20.34,13603,21.75,12700,0.18,9956,0.11,11200,-0.59,24076,24.97,10561,30.73,6668,-0.23,19691,19.47,14213
E01000168,00AC,Barnet,H,London,5.71,29265,0.05,25275,0.05,23834,-0.91,27289,2.05,30763,17.48,19476,-0.59,24177,6.96,26227,8.78,25399,0.06,24448,0.06,22216,-1.2,29541,1.85,30829,30.02,7172,-0.34,21039,11.27,21187,5.6,29438,0.06,24196,0.05,26113,-1.76,31998,2.55,29980,15.88,21314,-0.17,18775,9.19,23849
E01000169,00AC,Barnet,H,London,9.59,24403,0.07,21356,0.06,20894,-0.81,26340,2.82,29869,24.64,11648,-0.44,22307,15.99,16926,15.23,17974,0.09,19458,0.08,17135,-0.77,25915,3.18,29227,40.67,2096,-0.07,17263,17.44,15634,10.21,23759,0.08,20005,0.06,20966,-1.31,30592,2.95,29500,23.48,12890,0.12,14547,16.5,16561
E01000170,00AC,Barnet,H,London,15.53,17610,0.13,13026,0.07,18952,-0.64,24515,14.29,17729,22.04,14363,0.06,15397,24.25,11487,21.92,12505,0.14,13317,0.1,12823,-0.12,17791,12.1,19566,38.17,2858,0.34,11269,23.85,11552,17.99,15594,0.16,11471,0.1,13001,-0.63,24655,8.35,23262,21.06,15368,0.49,9168,22.19,12429
E01000171,00AC,Barnet,H,London,12.61,20784,0.12,14269,0.06,23425,-0.91,27328,7.45,24378,23.87,12416,-0.25,19676,25.54,10844,22.53,12133,0.19,9638,0.08,15787,-0.55,23488,5.65,26253,41.1,1968,0.51,8973,30.34,8450,17.63,15920,0.18,9725,0.09,14516,-1.56,31538,7.4,24313,22.78,13590,0.32,11542,26.98,9864
E01000172,00AC,Barnet,H,London,7.18,27483,0.05,24363,0.05,25738,-1.42,30805,2.99,29658,25.91,10475,-0.69,25440,14.35,18291,13.82,19391,0.13,14237,0.05,26221,-1.2,29598,3.17,29241,38.2,2846,0.06,15341,16.33,16461,8.68,25752,0.09,19948,0.05,24743,-1.38,30948,3.03,29391,23.65,12724,-0.12,18021,14.02,18739
E01000173,00AC,Barnet,H,London,9.22,24861,0.07,20826,0.05,25335,-1.1,28797,5.42,26706,21.42,15047,0.19,13509,14.92,17786,14.52,18649,0.08,21053,0.05,26341,-1.1,28856,5.23,26750,34.2,4559,1.12,2951,15.86,16833,8.46,26013,0.1,18431,0.05,26498,-1.65,31784,4.87,27235,19.12,17463,0.13,14381,11.82,20935
E01000174,00AC,Barnet,H,London,16.89,16354,0.14,11930,0.08,17529,-0.31,20362,7.47,24354,22.97,13365,-0.15,18267,35.28,6582,20,13924,0.16,11521,0.07,18793,-0.56,23605,7.34,24318,39.1,2556,0.01,16118,37.27,5977,15.68,17639,0.13,14164,0.08,16148,-1.11,29305,7.87,23776,21.38,15005,0.33,11484,30.61,8248
E01000175,00AC,Barnet,H,London,8.84,25342,0.07,21317,0.06,23697,-1.09,28723,3.31,29260,22.54,13829,-0.13,18029,15.95,16977,12.35,20986,0.08,20567,0.04,27634,-1.03,28283,3.66,28653,36.42,3497,0.28,12120,19.88,13932,8.4,26105,0.08,21234,0.05,25651,-1.36,30842,3.48,28897,20.92,15518,0.14,14285,14.85,17970
E01000176,00AC,Barnet,H,London,26.61,9745,0.25,5376,0.13,9137,0.03,15647,14.76,17313,37.4,3136,-0.16,18448,13.74,18851,31.68,7517,0.27,5419,0.14,7200,-0.1,17439,12.06,19595,53.8,157,0.18,13587,14.74,17744,26.83,9711,0.25,5686,0.14,7212,-0.48,22691,11.9,19803,38.95,2630,0.02,16060,16.25,16770
E01000177,00AC,Barnet,H,London,12.7,20681,0.07,20077,0.05,24910,-0.86,26771,5.08,27109,23.18,13148,0.6,8054,32.05,7829,15.39,17815,0.09,19113,0.05,25025,-0.71,25307,1,31777,36.68,3407,0.86,5060,23.2,11890,10.99,22740,0.07,23339,0.04,28285,-0.81,26683,3.1,29302,23.33,13032,0.57,8242,31.2,8009
E01000178,00AC,Barnet,H,London,12.55,20843,0.09,17082,0.06,23018,-0.92,27418,1.54,31345,22.37,14010,0.64,7567,23.51,11863,18.53,15084,0.1,18136,0.08,16066,-0.5,22889,0.47,32256,36.86,3328,0.92,4568,24.44,11215,14.64,18584,0.12,15243,0.07,18531,-0.57,23847,0.51,32197,21.09,15331,0.64,7349,25.24,10760
E01000179,00AC,Barnet,H,London,12.88,20461,0.07,20876,0.05,25771,-0.94,27525,2.49,30280,31.44,6211,0.59,8141,26.83,10176,17.44,15953,0.09,19891,0.05,24749,-0.85,26658,1.13,31657,46.4,871,0.63,7550,31.63,7959,12.61,20839,0.08,20390,0.05,26118,-1.28,30401,2.9,29560,35,4249,-0.08,17565,33.72,7061
E01000180,00AC,Barnet,H,London,14.29,18856,0.15,11407,0.07,18504,-0.32,20513,3.04,29593,24.82,11469,-0.56,23876,18.45,15008,20.46,13536,0.2,8938,0.08,15875,-0.42,21803,5.04,26990,41.74,1795,-0.11,17896,17.28,15765,17.16,16321,0.2,8462,0.09,13826,-0.72,25658,3.18,29206,25.01,11417,-0.35,21439,21.54,12855
E01000181,00AC,Barnet,H,London,13.23,20038,0.07,20040,0.07,19499,-0.44,22010,2.26,30526,21.79,14642,0.12,14524,36.32,6189,16.77,16531,0.09,19586,0.07,19664,-0.48,22557,1.92,30756,37.74,3034,0.23,12843,38.13,5686,13.86,19398,0.1,18314,0.06,21473,-0.71,25606,0.98,31747,20.55,15891,0.34,11312,43.95,3923
E01000182,00AC,Barnet,H,London,8.49,25821,0.05,24950,0.04,27625,-1.12,29000,0.73,32141,22.2,14183,-0.15,18301,32.35,7704,12.98,20305,0.07,24206,0.05,24128,-0.85,26688,0.49,32244,38.43,2752,-0.07,17294,32.56,7615,10.79,22981,0.07,23157,0.06,23338,-1.12,29412,0.36,32314,21.12,15301,0.13,14358,39.27,5228
E01000183,00AC,Barnet,H,London,11.46,22099,0.11,15136,0.05,26476,-0.59,23867,2.31,30477,26.5,9946,-0.27,19904,21.33,13108,15.7,17522,0.1,17553,0.06,21812,-0.48,22629,2,30650,41.79,1786,-0.06,17086,23.57,11712,12.4,21060,0.1,17095,0.06,22164,-1.1,29255,0.96,31783,30.22,7001,0.13,14353,21.15,13086
E01000184,00AC,Barnet,H,London,30.8,7799,0.25,5327,0.14,7943,0.53,8977,17.16,15376,39.13,2508,-0.21,19051,24.86,11184,37.26,5469,0.34,3099,0.15,6226,0.43,10281,16.71,15677,57.46,64,-0.36,21374,20.43,13545,43.7,3519,0.37,1847,0.18,4066,0.13,14112,27.51,9391,38.55,2753,1.2,2213,30.76,8181
E01000185,00AC,Barnet,H,London,37.99,5233,0.34,2462,0.16,6382,0.36,11099,20.5,13056,32.99,5284,1.15,2825,27.81,9725,47.28,2820,0.4,1774,0.19,3496,0.61,8246,19.82,13515,48.61,589,1.28,2003,26.66,10091,35.98,5875,0.37,1865,0.17,4418,0.16,13680,14,17969,30.19,7022,0.23,13016,29.54,8702
E01000186,00AC,Barnet,H,London,5.56,29423,0.05,24932,0.03,30980,-1.36,30520,1.72,31139,21.94,14463,-0.82,26902,17.79,15490,8.89,25274,0.06,26003,0.04,28948,-1.24,29785,1.69,31028,36.55,3452,-0.49,23075,16.7,16187,6.81,28057,0.07,23178,0.04,29218,-1.65,31766,2.72,29774,22.88,13466,-0.19,19156,15.01,17844
E01000187,00AC,Barnet,H,London,11.44,22116,0.15,11371,0.06,23095,-0.71,25234,5.26,26896,23.82,12479,-0.88,27447,9.36,23432,18.14,15392,0.19,9464,0.07,19731,-0.49,22670,6.67,25089,40.1,2257,-0.29,20366,13.54,18865,13.87,19384,0.18,9856,0.08,17837,-0.98,28307,7.27,24467,22.2,14170,-0.31,20821,11,21789
E01000188,00AC,Barnet,H,London,9.15,24952,0.06,22638,0.04,29322,-1.4,30685,1.58,31294,26.99,9546,0.67,7229,10.67,21974,12.78,20517,0.07,23047,0.04,28924,-1.26,29950,1.74,30963,38.32,2797,0.81,5512,16.16,16592,6.97,27856,0.05,26321,0.03,30805,-1.48,31313,3.1,29307,21.26,15136,0.33,11486,16.59,16471
E01000189,00AC,Barnet,H,London,41.58,4136,0.41,1095,0.16,6187,0.47,9749,28.91,8699,39.46,2415,0.44,10125,22.94,12163,46.47,2988,0.47,833,0.17,5022,0.52,9266,23.28,11434,56.7,75,0.26,12401,25.64,10621,42.14,3935,0.42,915,0.2,3028,0.35,11004,24.58,10758,32.68,5455,0.05,15578,22.53,12233
E01000190,00AC,Barnet,H,London,11.47,22085,0.08,19253,0.05,26441,-1.06,28543,3.8,28682,29.91,7203,0.41,10508,17.19,15946,18.53,15082,0.13,14732,0.07,19814,-0.89,27101,3.14,29266,46.95,798,0.64,7463,12.54,19874,10.97,22768,0.1,18045,0.05,23867,-1.65,31768,3.48,28892,29.91,7242,0.07,15329,15.27,17594
E01000191,00AC,Barnet,H,London,8.51,25790,0.06,23377,0.04,27879,-1.2,29585,2.54,30220,27,9540,-0.08,17365,19.06,14599,14.57,18607,0.1,18510,0.05,26179,-1.29,30094,1.5,31250,44.38,1219,0.26,12335,20.32,13621,9.18,25118,0.1,17409,0.04,29643,-1.59,31639,2.23,30349,26.74,9808,-0.13,18228,17.62,15620
E01000192,00AC,Barnet,H,London,17.19,16116,0.12,14267,0.06,20785,-1.09,28738,1.06,31842,27.2,9356,1.12,3030,31.4,8105,20.51,13492,0.13,14529,0.07,18196,-0.9,27213,1.06,31713,44.66,1157,0.9,4694,26.28,10301,15.35,17936,0.14,12748,0.07,19381,-1.16,29734,2.38,30187,23.48,12889,0.58,8049,28.57,9115
E01000193,00AC,Barnet,H,London,10.69,23056,0.07,19875,0.05,24208,-1.12,28972,2.82,29868,20.51,16025,0.59,8148,19.49,14288,17.05,16289,0.13,14834,0.08,17315,-0.77,25936,0.91,31860,37.75,3030,0.44,9879,20.29,13638,14.19,19019,0.12,15304,0.07,18368,-1.05,28901,2.05,30558,20.3,16163,0.61,7658,26.67,10007
E01000194,00AC,Barnet,H,London,26,10076,0.17,9367,0.09,15895,-0.26,19669,5.25,26903,29.32,7627,1.8,467,34.9,6734,30.79,7865,0.18,10276,0.09,14831,-0.25,19532,5.5,26422,46.13,911,2.12,141,35.06,6709,20.57,13567,0.15,12131,0.09,15420,-0.92,27787,9.48,22100,26.61,9913,0.89,4612,38.25,5538
E01000195,00AC,Barnet,H,London,23.48,11415,0.21,7474,0.1,13678,-0.13,17951,25.03,10480,33.74,4830,-0.06,17100,14.27,18355,33.62,6754,0.28,5181,0.13,8817,0.31,11837,20.51,13040,48.99,551,0.52,8845,20.24,13674,29.33,8495,0.31,3258,0.14,7552,-0.44,22224,18.06,14720,32.64,5470,0.17,13869,18.52,14931
E01000196,00AC,Barnet,H,London,11.66,21852,0.08,18414,0.06,22789,-0.78,26000,9.49,22208,25.16,11152,-0.99,28466,28.73,9307,15.64,17578,0.1,17828,0.06,21173,-0.75,25707,1.43,31315,42.65,1581,-0.59,24371,32.34,7692,11.87,21686,0.1,17238,0.07,19808,-0.83,26829,2.16,30454,24.03,12333,-0.73,26269,30.8,8170
E01000197,00AC,Barnet,H,London,13.76,19426,0.08,19077,0.07,19763,-0.69,25097,3.46,29072,27.15,9391,0.14,14195,33.17,7392,19.05,14671,0.1,17660,0.08,17584,-0.91,27315,0.95,31828,45.26,1060,0.59,7991,29.32,8899,12.58,20871,0.09,18637,0.06,20706,-1.04,28815,2.6,29915,26.01,10482,-0.02,16594,32.69,7421
E01000198,00AC,Barnet,H,London,11.34,22256,0.08,18525,0.04,27224,-1.18,29420,1.49,31398,36.62,3433,-0.19,18792,16.64,16404,15.54,17683,0.1,17921,0.04,28078,-1.13,29108,0.82,31952,51.96,249,0.12,14403,15.69,16969,11.04,22675,0.08,20630,0.05,26437,-1.61,31690,2.99,29454,37.1,3305,-0.12,18059,16.46,16598
E01000199,00AC,Barnet,H,London,6.64,28154,0.04,26471,0.03,30620,-1.88,32030,0.35,32394,32.14,5784,-0.69,25381,13.9,18715,10,23828,0.06,25683,0.03,31080,-1.47,30988,0.43,32288,45.84,959,-0.76,26409,14.03,18400,8.59,25851,0.08,20787,0.04,26917,-1.32,30616,0.49,32211,29.36,7665,-0.33,21203,14.98,17861
E01000200,00AC,Barnet,H,London,11.58,21941,0.08,18840,0.06,23335,-0.92,27387,2.74,29965,28.72,8079,-0.21,19178,26.16,10531,15.95,17298,0.1,18387,0.07,20690,-0.96,27728,0.49,32245,45.79,972,-0.12,17980,24.72,11072,12.68,20751,0.09,18709,0.07,20089,-0.8,26598,1.46,31242,26.49,10023,0.01,16187,29.9,8541
E01000201,00AC,Barnet,H,London,5.07,30010,0.04,28393,0.03,30686,-1.59,31429,1.65,31227,23.52,12775,-0.34,20945,12.34,20220,9.9,23943,0.05,28447,0.04,29398,-1.68,31642,0.79,31980,40.12,2251,-0.07,17343,21.16,13096,7.74,26899,0.06,25348,0.03,30133,-1.64,31754,0.6,32118,21.34,15052,0.25,12621,26.09,10311
E01000202,00AC,Barnet,H,London,10.62,23136,0.06,22840,0.06,22168,-0.92,27422,1.02,31879,28.43,8296,0.12,14573,20.08,13862,16.33,16974,0.09,20463,0.06,21315,-0.86,26856,0.46,32260,46.52,851,0.46,9713,19.67,14060,9.17,25126,0.08,20482,0.05,24560,-0.94,27907,0.71,32025,21.87,14495,-0.12,18125,21.82,12667
E01000203,00AC,Barnet,H,London,20.5,13486,0.18,8977,0.07,19960,-0.54,23339,5,27210,35.64,3866,0.5,9355,32.76,7557,26.11,9988,0.19,9387,0.09,14777,-0.42,21844,2.5,30079,60.09,32,0.46,9642,29.53,8812,22.81,12013,0.2,8665,0.1,13000,-1.03,28684,4.6,27529,41.45,1910,0.14,14192,34.33,6834
E01000204,00AC,Barnet,H,London,7.83,26664,0.05,23969,0.04,28835,-1.54,31264,1.1,31797,26.67,9807,-0.35,21094,23.29,11990,13.45,19773,0.08,21875,0.06,22445,-1.08,28691,0.5,32234,44.19,1268,-0.38,21590,21.57,12828,10.55,23285,0.09,19126,0.05,23610,-1.36,30851,1.1,31634,24.21,12160,0.06,15413,25.86,10426
E01000205,00AC,Barnet,H,London,8.52,25775,0.05,25130,0.03,29970,-1.65,31596,1.15,31747,28.92,7931,-0.07,17237,26.46,10371,10.11,23667,0.06,26310,0.04,28476,-1.65,31564,0.81,31955,41.36,1898,-0.2,19114,16.48,16345,6.98,27845,0.06,23941,0.04,29303,-1.71,31902,0.29,32363,23.54,12827,0.34,11345,9.51,23428
E01000206,00AC,Barnet,H,London,11.87,21628,0.05,23911,0.02,32298,-1.29,30146,0.87,32029,42.11,1641,0.37,10948,20.33,13701,12.94,20340,0.05,27308,0.02,32241,-1.42,30738,2.01,30641,54.49,135,-0.43,22305,23.83,11565,9.52,24660,0.04,29395,0.02,32376,-1.47,31308,0.81,31925,38.68,2708,0.2,13462,21.65,12789
E01000207,00AC,Barnet,H,London,8.21,26163,0.05,25730,0.04,28607,-1.57,31364,1.24,31645,26.78,9706,0.09,14972,22.8,12249,11.6,21832,0.06,25893,0.04,29037,-1.78,31858,1,31782,40.74,2073,-0.15,18350,32.71,7551,6.63,28272,0.06,25731,0.03,30434,-2.07,32307,0.92,31818,24.9,11518,-0.11,17853,18.23,15150
E01000208,00AC,Barnet,H,London,7.75,26754,0.04,28120,0.02,31832,-1.84,31968,1.15,31741,28.18,8524,0.32,11662,20.95,13338,10.69,22947,0.04,29791,0.03,31651,-1.65,31573,0.58,32179,44.5,1192,0.28,12116,16.96,16001,7.89,26727,0.04,29627,0.03,31586,-1.89,32169,1.62,31073,26.79,9757,0.27,12369,27.95,9410
E01000209,00AC,Barnet,H,London,7.3,27323,0.03,29417,0.04,29048,-1.61,31507,0.77,32101,25.12,11191,-0.23,19359,30.35,8570,10.83,22757,0.05,26921,0.04,29222,-1.53,31196,0.28,32393,40.68,2093,-0.09,17627,26.48,10189,8.53,25928,0.05,26674,0.04,28183,-1.94,32221,0.35,32323,24.14,12221,0.1,14762,32.64,7442
E01000210,00AC,Barnet,H,London,8.55,25739,0.04,27311,0.03,30362,-1.37,30536,2.65,30074,24.69,11610,0.52,9055,23.22,12023,11.32,22131,0.05,26607,0.04,28597,-1.57,31316,0.12,32469,37.83,2994,0.46,9706,23.93,11508,8.39,26119,0.04,29131,0.04,29689,-1.35,30807,0.09,32471,23.64,12729,0.8,5464,17.91,15398
E01000211,00AC,Barnet,H,London,15.45,17694,0.12,13964,0.06,21896,-0.19,18752,2.45,30315,28.16,8540,-0.25,19647,36.36,6181,20.99,13157,0.13,14963,0.08,17358,-0.4,21606,5.45,26479,44.23,1256,-0.25,19841,46.43,3414,15.95,17370,0.14,12844,0.07,20301,-1.03,28741,3.79,28502,25.09,11321,-0.02,16588,44.95,3659
E01000212,00AC,Barnet,H,London,9.25,24827,0.03,29743,0.03,30802,-1.7,31698,1.85,31004,30.23,7014,0.61,7868,24.28,11467,13.32,19921,0.03,30754,0.03,30007,-1.85,31978,0.43,32289,43.6,1371,1.09,3173,18.23,15023,8.49,25992,0.04,29912,0.03,30584,-1.77,32014,0.27,32374,28.24,8558,0.15,14153,33.89,6992
E01000213,00AC,Barnet,H,London,10.12,23773,0.02,31697,0.02,32235,-1.92,32086,3.09,29526,39.79,2323,0.21,13193,26.86,10164,14.11,19120,0.04,30327,0.02,32244,-2,32166,2.13,30494,57.46,63,-0.15,18439,35.3,6631,9.43,24783,0.03,31366,0.02,32225,-2.14,32347,1.72,30944,38.51,2773,-0.32,20977,33.42,7160
E01000214,00AC,Barnet,H,London,8.1,26318,0.02,30899,0.02,31508,-1.79,31886,0.87,32030,33.68,4870,0.13,14376,22.05,12676,11.8,21599,0.03,31364,0.03,31532,-1.66,31592,0.25,32417,48.15,651,-0.03,16611,28.87,9102,10.79,22976,0.03,31180,0.03,31296,-1.74,31970,0.35,32319,30.81,6603,0.71,6453,38.43,5473
E01000215,00AC,Barnet,H,London,13,20326,0.1,16165,0.05,24978,-0.96,27717,2.96,29693,25.07,11245,0.49,9452,28.31,9497,16.43,16866,0.15,12706,0.04,27648,-0.97,27843,2.07,30564,41.27,1924,0.62,7621,17.41,15664,12.04,21492,0.13,13998,0.05,25983,-1.02,28676,4.95,27158,24.45,11942,0.05,15684,22.9,12020
E01000216,00AC,Barnet,H,London,8.38,25951,0.06,22870,0.04,29151,-0.96,27760,3.01,29634,25.94,10439,-0.43,22204,23.47,11888,13.48,19747,0.11,16999,0.05,26502,-0.84,26588,1.42,31326,41.35,1899,-0.26,19942,19.37,14250,11.38,22250,0.11,16050,0.05,26485,-1.22,30114,2.18,30412,24.13,12235,-0.15,18507,33.06,7298
E01000217,00AC,Barnet,H,London,7.47,27104,0.05,25860,0.04,27447,-0.95,27634,1,31900,23.4,12900,-0.49,23035,25,11118,11.86,21541,0.08,20528,0.05,26848,-0.83,26468,1.11,31669,38.93,2606,-0.29,20378,19.82,13967,10.38,23531,0.07,22318,0.05,24588,-0.96,28156,1.36,31343,21.4,14977,0.24,12887,31.55,7891
E01000218,00AC,Barnet,H,London,8.01,26426,0.08,18691,0.04,28704,-0.96,27704,1.52,31371,22.71,13659,-0.53,23480,17.03,16066,13.6,19629,0.14,13979,0.04,28099,-0.84,26562,2.07,30568,38.65,2685,-0.52,23458,22.63,12197,11.77,21809,0.1,17501,0.05,25740,-0.81,26649,1.42,31288,22.18,14191,0.39,10603,28.53,9135
E01000219,00AC,Barnet,H,London,13.83,19366,0.09,17094,0.06,22753,-0.47,22431,5.54,26563,27.82,8830,0.3,11943,24.5,11370,16.86,16448,0.15,12741,0.05,24468,-0.89,27153,1.46,31293,42.23,1680,0.18,13529,25.22,10825,13.65,19637,0.13,14293,0.05,24638,-0.9,27573,4.15,28082,27.75,8956,0.58,8028,17.59,15637
E01000220,00AC,Barnet,H,London,16.36,16815,0.13,13242,0.08,17990,0.15,13872,4.79,27458,25.4,10925,0.05,15540,21.15,13211,21.61,12724,0.18,10125,0.09,15215,0.12,14280,1.27,31488,41.99,1741,0.02,15949,21.78,12714,16.93,16533,0.16,11218,0.08,17156,-0.09,17345,2.98,29458,25.19,11234,0.19,13496,22.41,12294
E01000221,00AC,Barnet,H,London,39.07,4909,0.33,2852,0.14,7992,0.48,9688,15.69,16591,44.74,1077,1.24,2291,26.9,10147,44.04,3587,0.32,3826,0.15,6434,0.84,5788,16.42,15903,62.49,20,1.34,1728,31.77,7894,36.68,5626,0.31,3327,0.14,7247,0.24,12565,19.66,13615,42.33,1689,0.84,5098,28.9,8962
E01000222,00AC,Barnet,H,London,19.01,14611,0.16,10272,0.09,14778,-0.09,17286,6.77,25122,29.7,7366,0.11,14635,19.65,14179,26.22,9935,0.24,6775,0.09,13834,-0.15,18202,7.28,24380,45.78,974,0.42,10117,24.19,11358,24.86,10749,0.26,5314,0.09,15456,-0.67,25095,8.12,23490,36.97,3356,0.68,6859,26.34,10183
E01000223,00AC,Barnet,H,London,30.03,8116,0.26,5158,0.11,11599,0.12,14329,20.24,13238,34.69,4326,0.65,7402,34.36,6917,35.27,6199,0.24,7046,0.13,7923,0.24,12751,17.45,15165,49.38,492,0.93,4472,38.15,5677,32.67,7057,0.25,5753,0.12,9381,-0.09,17240,21.1,12703,33.62,4937,1.14,2626,41.27,4651
E01000224,00AC,Barnet,H,London,14.36,18790,0.12,13476,0.08,17010,-0.53,23187,9.12,22614,24.18,12119,-0.58,24156,20.15,13809,19.66,14165,0.18,10312,0.08,16762,-0.61,24209,5.35,26595,40.51,2138,0.13,14368,20.32,13612,17.25,16239,0.19,8941,0.08,15811,-1.1,29269,5.66,26328,28.25,8549,0.02,15972,20.68,13384
E01000225,00AC,Barnet,H,London,8.98,25170,0.06,22968,0.04,28321,-0.97,27822,5.08,27113,27.4,9183,0.11,14693,14.16,18467,12.63,20664,0.09,19939,0.04,29263,-1.08,28692,1.93,30743,42.84,1533,-0.07,17351,19.15,14396,11.13,22546,0.1,17179,0.04,29111,-0.95,28041,2.13,30486,24.96,11458,0.13,14335,30.09,8469
E01000226,00AC,Barnet,H,London,31.8,7404,0.26,5135,0.13,8821,0.15,13805,20.13,13299,30.39,6901,0.97,4176,35.11,6643,39.01,4950,0.32,3710,0.14,7542,0.28,12167,19.55,13687,45.96,939,1.33,1774,29.59,8788,28.07,9092,0.29,4020,0.13,8740,-0.39,21429,22.04,12172,28.7,8179,0.02,15974,26.93,9895
